,start,end,length,delta_x,delta_y,original_angle,angle,interval
84,67436,68734,1298,-1.484299756425699,-1.5648222924493496,46.512740168382386,-2.159949516450823,80
85,70619,73070,2451,-3.40850115968928,-1.421427648632232,22.637320103071215,-17.1822406337527,1885
86,73146,76567,3421,-4.690292170353985,-1.4810109145856387,17.52408008486299,12.369794723747004,76
87,76659,79756,3097,-4.465636330463923,-1.062444691412054,13.382758782155857,15.481545251805649,92
88,79828,80128,300,-1.4538184172870388,-1.4033438240039402,43.987918735497686,38.599887697884334,72
89,80430,80695,265,-2.9504344899520873,-0.5862747496477141,11.238732340250566,2.816549635878646,302
90,80721,80882,161,-2.12029243426214,-0.7283670735363046,18.958723473311725,64.47195061980972,26
91,81038,81138,100,0.0880607103538722,-4.498352406755814,-88.87850879402306,-81.81613878736435,156
92,81333,81591,258,-1.3443667374076398,1.1836775318733004,-41.363020926339516,-33.43899563162247,195
93,82522,82630,108,-3.2717230282291894,-2.600297966606206,38.47695291495679,38.28923330404004,931
94,82654,82761,107,3.3133910319614444,-4.070197023367953,-50.85228849513523,-85.9287077925257,24
95,82796,82877,81,-1.838271444785775,-1.6780932937349036,42.39185414577193,36.26543355558921,35
96,83071,83319,248,-5.906914833097261,-0.28736644300860803,2.785195633666379,-11.56273149975083,194
97,83510,83582,72,-3.5062088736828656,-2.4417517625832517,34.85366024293708,40.70089048448539,191
98,83782,83911,129,-4.42632002274847,-3.1970828641240843,35.8401724948488,43.70329954644176,200
99,84062,84159,97,-1.7922368713955592,-1.156063983076237,32.823623515960236,22.73574475712646,151
100,84291,84454,163,-2.6388952211016203,-2.7062554226596376,45.722009765891244,37.956670840992736,132
101,84479,84786,307,-4.908590605221519,-1.8398255693695518,20.54687642575985,9.819478467021964,25
102,85306,87284,1978,-6.848206981581242,-3.306655974629919,25.7735683482869,31.391460500867762,520
103,88139,91278,3139,-2.303970205130028,-1.6164580983231644,35.05337635007552,41.95810476721755,855
104,91366,91821,455,-2.683962539733841,-0.6876381981099371,14.370230521902904,16.704565604713174,88
105,93009,98316,5307,-6.3736397458868765,-1.4300760166291582,12.646214128117336,5.668425100717431,1188
106,98390,99682,1292,-2.6647896744457995,-1.5314023840653306,29.885137992773114,22.83412390979826,74
107,99736,101781,2045,-3.571864370516721,-1.3355324837146725,20.50094458646509,23.12234514431128,54
108,106660,106901,241,-1.133656450553346,-0.5706142361758424,26.717924679787608,27.77880307055195,4879
109,106920,107111,191,-0.20334937056045987,0.5829817215260391,-70.77075987094572,75.67041865778164,19
110,107134,111745,4611,-6.230038349766588,-0.18267085303945407,1.679487432360257,-11.145758335567068,23
111,117952,123790,5838,-4.89849466357947,-2.1298209541798343,23.49896570506732,-3.543114490197637,6207
