scorer,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000
bodyparts,left-paw,left-paw,left-paw,left-elbow,left-elbow,left-elbow,right-paw,right-paw,right-paw,right-elbow,right-elbow,right-elbow,chest,chest,chest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
38,354.704345703125,230.945556640625,1.0,383.1852722167969,196.6467742919922,1.0,215.87313842773438,229.6162567138672,1.0,267.52362060546875,213.05299377441406,0.01463992428034544,254.64682006835938,179.04368591308594,1.0
39,355.7135009765625,230.3502960205078,1.0,381.9618835449219,196.2639617919922,1.0,215.35459899902344,229.29721069335938,1.0,265.3793640136719,214.8450927734375,0.01012624241411686,253.7815399169922,178.9140625,1.0
40,355.6169738769531,230.692138671875,1.0,381.7635803222656,196.51316833496094,1.0,215.53973388671875,229.3686065673828,1.0,267.77984619140625,215.244384765625,2.8621529054362327e-05,252.81517028808594,178.625732421875,1.0
41,356.9086608886719,230.50289916992188,1.0,380.9982604980469,195.99696350097656,1.0,216.22482299804688,230.1835479736328,1.0,266.9190673828125,213.345703125,6.733953796356218e-06,255.37586975097656,178.46109008789062,1.0
42,356.24871826171875,230.65853881835938,1.0,381.2990417480469,196.94627380371094,1.0,216.18002319335938,229.60421752929688,1.0,265.5952453613281,215.4840850830078,0.004700678400695324,252.62376403808594,179.3704071044922,1.0
43,356.5253601074219,230.83950805664062,1.0,381.06488037109375,196.78831481933594,1.0,216.0665740966797,229.5834197998047,1.0,266.5001220703125,216.0600128173828,1.533189606561791e-05,252.96348571777344,179.03265380859375,1.0
44,356.9049072265625,230.69802856445312,1.0,381.0827331542969,196.5994415283203,1.0,216.35617065429688,229.92393493652344,1.0,266.7292175292969,214.37841796875,4.86930766783189e-05,253.93104553222656,179.0038299560547,1.0
45,356.75628662109375,230.84173583984375,1.0,381.08502197265625,196.8564453125,1.0,216.7899627685547,229.74925231933594,1.0,266.4510803222656,215.93682861328125,0.0003027265483979136,253.52894592285156,179.38687133789062,1.0
46,357.1372985839844,230.40016174316406,1.0,382.44598388671875,196.90650939941406,1.0,216.53517150878906,228.34315490722656,1.0,268.32318115234375,214.5207977294922,0.037895772606134415,258.8995361328125,178.23141479492188,1.0
47,364.1310729980469,231.27676391601562,1.0,400.1456604003906,202.96017456054688,1.0,209.87548828125,228.1487274169922,1.0,264.1866149902344,212.45111083984375,1.0,250.23597717285156,173.73175048828125,1.0
48,360.57501220703125,231.786865234375,1.0,399.0346984863281,202.8570556640625,1.0,212.9896240234375,227.91993713378906,1.0,263.137939453125,212.8816680908203,1.0,249.25779724121094,177.76272583007812,1.0
49,361.6003112792969,232.68887329101562,1.0,399.4450988769531,203.88192749023438,1.0,212.1581573486328,228.58216857910156,1.0,264.9613342285156,213.20310974121094,1.0,248.2724151611328,178.15621948242188,1.0
50,359.1740417480469,233.12094116210938,1.0,398.9009704589844,204.4934844970703,1.0,212.8764190673828,228.76344299316406,1.0,261.94110107421875,214.4979705810547,1.0,246.19139099121094,177.82696533203125,1.0
51,359.1042785644531,233.4956512451172,1.0,398.33392333984375,205.1407012939453,1.0,213.43719482421875,228.6151580810547,1.0,261.7712097167969,213.97950744628906,1.0,246.0748748779297,178.83743286132812,1.0
