,start,end,length,delta_x,delta_y,angle
183,154402,154800,398,1.0216844873643112,-4.671749898757454,-12.33603474153239
184,154831,156179,1348,3.8010270399186368,-5.428992204124654,-34.99720814502597
185,156215,157163,948,3.232123666065206,-5.112026901004441,-32.30347852803294
186,157198,157643,445,2.302847030647598,-5.592469231408998,-22.38070954638512
187,157669,159072,1403,2.655126634940345,-6.676010541094385,-21.688288152527097
188,159101,159329,228,2.422606469441945,-4.300898406514818,-29.39165499684511
189,159400,161165,1765,1.6672094036531178,-5.733787925611395,-16.212808023972173
190,161245,161388,143,2.4459314142632564,-3.6005882444466977,-34.18883194174894
191,161425,163339,1914,1.8091092824779196,-4.378779797065661,-22.44815033061374
192,163391,165011,1620,4.154588242124291,-7.160962429821794,-30.12109690199479
193,166367,168263,1896,1.4527573637761577,-5.54615982509938,-14.678246350111573
194,168343,168742,399,3.310264933056814,-4.518305633417057,-36.2277776954524
195,168763,168812,49,2.075767350766938,-3.3314727900037298,-31.926124941525693
196,168852,169409,557,0.14015746022587905,-2.003581139163316,-4.00152016153001
197,169448,169970,522,4.484431537245641,-4.942281780509944,-42.219360859231514
198,170035,170476,441,3.9126758772086987,-7.719772131708808,-26.87763581713973
199,170496,172472,1976,4.931886097796863,-5.20778207780414,-43.44139121999974
200,172759,172877,118,1.4521479843145926,-2.3105105786687403,-32.14922084272542
201,172929,173658,729,2.7949668271302954,-3.887267667427494,-35.71634272576419
202,173688,174983,1295,2.3635325961621447,-4.477775822836108,-27.826718619799557
203,175012,175173,161,3.0588583508895084,-3.1119695604331383,-44.50687767372129
204,175222,175694,472,-3.672300948372836,3.0625277943412357,-50.17346904669656
205,175694,176213,519,2.581821764906522,-3.6432846329306017,-35.32337832864439
206,176255,177369,1114,1.8081500065569571,-4.302592859862656,-22.794415003676225
207,177403,177491,88,2.4383700891209656,-1.9650105245252973,-51.13568379952552
208,177520,177927,407,-3.433693239357538,-0.8587185410069367,75.95912008168156
