,start,end,length,delta_x,delta_y,angle
78,114908,115428,520,-12.684919532352183,0.9751297227466722,-85.60413842718116
79,116419,117228,809,-2.028807346315162,1.8828633917072324,-47.136707410036365
80,118491,118828,337,-0.08091991380827324,-1.0343453926257524,4.473307802115266
81,118862,119464,602,-7.272776158831476,-0.8528929390280666,83.31136055046333
82,119466,119856,390,2.561720691329981,-1.6902885599263442,-56.58215497632749
83,121459,121660,201,1.310582244800699,0.09006341322638889,86.0688057567222
84,121730,122394,664,5.336689585952314,-1.8503050334372517,-70.87785227449123
85,122443,122697,254,1.3157375914944822,-2.2959282866722788,-29.815915345180645
86,123633,124032,399,-5.372416740063414,4.20912807625983,-51.922360871936895
87,124607,124741,134,0.4187025501952064,-3.1467992579912334,-7.579066612265719
88,124774,124909,135,-3.4219347123319324,3.4726157433640736,-44.57883303676354
89,124939,125067,128,-1.3763762303175326,-0.5973840385990314,66.53786898619266
90,125164,126048,884,-31.820703808574862,-4.065203533130315,82.71970473802622
91,132046,132138,92,1.1279929829623967,-2.381411883739304,-25.345306891005443
92,147178,147350,172,-2.1708247588960035,-1.4785950346056893,55.740388091758945
93,149194,149283,89,0.08169786636588583,-1.587190940481321,-2.946599135277162
94,151884,152279,395,0.18366566117269656,-3.3829083942464138,-3.1076649510659915
95,152427,152926,499,-0.2562152899051853,-0.6486082872458496,21.555167377826766
96,154010,155638,1628,-3.984134851538812,-0.9468343557207533,76.63158226469605
97,157033,157128,95,4.188627672164486,-7.805241417234754,-28.21991692285547
98,157162,157470,308,-2.312343486980083,-4.61317933982852,26.622192668365713
99,157495,160081,2586,-6.866506059775361,-10.296591934078762,33.69820079847454
100,163888,165341,1453,-1.753947074704712,-1.0639361778872996,58.75919370673361
101,165413,166194,781,0.16806767647649679,-2.6134541926599724,-3.6795466782206687
102,167159,168066,907,1.3469794547855969,-2.174711858811193,-31.77336824690315
103,170777,171513,736,-2.3752281035711604,-0.5020719986404885,78.06459923768769
104,179576,179964,388,-4.263115675159497,-5.938696365731815,35.672818928923064
